# L = 6	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(1+0j), (1-0j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.571742754065161174e-01 8.196916116127662879e-04 0.000000000000000000e+00
2.000000000000000000e+00 9.074593909161867700e-01 3.887584715332281608e-03 0.000000000000000000e+00
4.000000000000000000e+00 7.853572555968825197e-01 7.260527410869217248e-03 1.800000000000000000e+01
8.000000000000000000e+00 6.029312982422186940e-01 2.084804124711750820e-02 1.020000000000000000e+02
1.600000000000000000e+01 5.383572320786452758e-01 2.598828696520073117e-02 5.400000000000000000e+01
3.200000000000000000e+01 4.344234647673215211e-01 2.741417845583360782e-02 3.600000000000000000e+01
6.400000000000000000e+01 3.780355053643556507e-01 2.610938910896756088e-02 3.600000000000000000e+01
1.280000000000000000e+02 2.983552044645427781e-01 -5.303628627833978718e-03 2.400000000000000000e+01
2.560000000000000000e+02 2.707809313355759029e-01 7.636339506281143545e-03 1.800000000000000000e+01
5.120000000000000000e+02 1.989955152451056974e-01 1.834808929265967573e-02 4.200000000000000000e+01
1.024000000000000000e+03 1.648042692256747599e-01 4.547946958775341691e-02 4.800000000000000000e+01
2.048000000000000000e+03 1.137715634778074386e-01 7.836523065506586019e-03 1.800000000000000000e+01
4.096000000000000000e+03 9.680899408226656400e-02 3.689080776797492439e-02 3.600000000000000000e+01
8.192000000000000000e+03 6.076029078135464223e-02 -5.970880851637744985e-02 1.800000000000000000e+01
1.638400000000000000e+04 2.653005438637709087e-02 -1.845032877542337191e-01 3.000000000000000000e+01
3.276800000000000000e+04 1.950346836418835259e-02 -2.432672740589811033e-01 2.400000000000000000e+01
6.553600000000000000e+04 1.240164016611397567e-03 1.449733325309648935e+00 2.400000000000000000e+01
1.310720000000000000e+05 5.372385761871623436e-03 -5.086293446699201304e-02 1.800000000000000000e+01
2.621440000000000000e+05 1.343801979491669220e-02 -2.487389218351240938e+00 1.200000000000000000e+01
5.242880000000000000e+05 8.296214078936126404e-03 2.478512585604144114e+00 3.000000000000000000e+01
1.048576000000000000e+06 3.184331439266393973e-03 1.449685409112514867e+00 0.000000000000000000e+00
2.097152000000000000e+06 7.668654815310528734e-03 -1.017277508199727620e+00 0.000000000000000000e+00
4.194304000000000000e+06 1.013236348791589532e-02 -2.649723789530932017e+00 0.000000000000000000e+00
8.388608000000000000e+06 1.109759535020464656e-02 1.687169890533831706e+00 6.000000000000000000e+00
1.677721600000000000e+07 1.031991733464404128e-02 4.724148042913262069e-01 0.000000000000000000e+00
3.355443200000000000e+07 1.298109742973402314e-02 1.166366670260773786e+00 0.000000000000000000e+00
6.710886400000000000e+07 3.215147780971188123e-03 2.667614404074855727e+00 6.000000000000000000e+00
1.342177280000000000e+08 1.599311639873386010e-02 -2.409275470161672317e+00 0.000000000000000000e+00
2.684354560000000000e+08 2.119305783990836634e-02 2.488046047755632983e+00 0.000000000000000000e+00
5.368709120000000000e+08 1.491542087603299135e-02 -2.419833274766469977e-01 0.000000000000000000e+00
1.073741824000000000e+09 7.701321481557382199e-03 4.325440430349385967e-01 0.000000000000000000e+00
2.147483648000000000e+09 9.383404306771994663e-03 -2.983567414761936654e+00 0.000000000000000000e+00
4.294967296000000000e+09 1.112563176550669490e-02 2.828444337552455501e+00 0.000000000000000000e+00
8.589934592000000000e+09 1.208332185986934690e-02 2.367428329309539947e-01 0.000000000000000000e+00
1.717986918400000000e+10 4.346290928336780761e-03 -4.338810187388765505e-02 0.000000000000000000e+00
3.435973836800000000e+10 9.256058699785156205e-03 -7.881951823448611893e-01 0.000000000000000000e+00
6.871947673600000000e+10 2.072047508274902240e-03 -1.729344875558572747e+00 0.000000000000000000e+00
1.374389534720000000e+11 9.503742213250343518e-03 -1.071123432080567511e-01 0.000000000000000000e+00
2.748779069440000000e+11 8.629224201340830736e-03 1.539184924617727768e-01 0.000000000000000000e+00
5.497558138880000000e+11 1.256115619357780176e-02 2.417672668532979241e+00 0.000000000000000000e+00
