# L = 6	dim_loc = 3	n_dis = 100	
# Jzz = 1.0	hz = 0.9	alphas = [(0.93969262078590843+0.34202014332566866j), (0.93969262078590843-0.34202014332566866j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 8.832210448388666535e-01 -1.141032660140225410e-03 0.000000000000000000e+00
2.000000000000000000e+00 7.700064192312399136e-01 1.150928094340415968e-03 0.000000000000000000e+00
4.000000000000000000e+00 6.451197709114880885e-01 -1.543128772008187143e-03 1.200000000000000000e+01
8.000000000000000000e+00 5.841045987501971570e-01 3.314392880230588277e-03 3.600000000000000000e+01
1.600000000000000000e+01 5.308529176543250738e-01 -2.193561695102499553e-03 1.800000000000000000e+01
3.200000000000000000e+01 4.665695936985565506e-01 1.035173308698948691e-02 1.800000000000000000e+01
6.400000000000000000e+01 4.305386739606568147e-01 -3.085152561945429394e-04 6.000000000000000000e+00
1.280000000000000000e+02 3.848816989524244669e-01 7.197849733528352729e-03 1.200000000000000000e+01
2.560000000000000000e+02 3.454882312353041995e-01 -2.639012337221687682e-03 6.000000000000000000e+00
5.120000000000000000e+02 3.245028931317594512e-01 1.687907591994183484e-02 3.000000000000000000e+01
1.024000000000000000e+03 2.879652500400304849e-01 7.610867929998751079e-03 1.800000000000000000e+01
2.048000000000000000e+03 2.518684551489790424e-01 3.573675814663037492e-02 4.200000000000000000e+01
4.096000000000000000e+03 2.113750268020398171e-01 4.333268811670628468e-02 5.400000000000000000e+01
8.192000000000000000e+03 1.510402002516239295e-01 1.790262944142947954e-02 5.400000000000000000e+01
1.638400000000000000e+04 1.331766655209609129e-01 -6.771886349532535432e-02 1.800000000000000000e+01
3.276800000000000000e+04 8.611168791955325919e-02 -1.990882252743058928e-03 3.600000000000000000e+01
6.553600000000000000e+04 6.331976876031476797e-02 -4.106998797431717085e-02 4.800000000000000000e+01
1.310720000000000000e+05 5.326669866357337108e-02 7.053154055102847653e-02 4.800000000000000000e+01
2.621440000000000000e+05 3.903482654271214769e-02 -3.545559259996684531e-01 3.000000000000000000e+01
5.242880000000000000e+05 8.635152246798933826e-03 1.780386981187864537e+00 4.800000000000000000e+01
1.048576000000000000e+06 1.137922220889649345e-02 -8.096143727544848900e-01 1.200000000000000000e+01
2.097152000000000000e+06 1.770784933816572232e-02 8.186540577697714038e-01 1.800000000000000000e+01
4.194304000000000000e+06 5.432941647235030487e-03 1.025195468946813682e+00 0.000000000000000000e+00
8.388608000000000000e+06 1.681781468227317930e-02 1.075513241512968454e+00 1.800000000000000000e+01
1.677721600000000000e+07 4.366279047019960662e-03 -3.662067264393324972e-01 0.000000000000000000e+00
3.355443200000000000e+07 4.279061147017669542e-03 2.433871821994220142e+00 1.200000000000000000e+01
6.710886400000000000e+07 2.415044049214916042e-02 -2.247636191515082871e+00 0.000000000000000000e+00
1.342177280000000000e+08 2.012858378251791702e-02 -8.967386643894003084e-01 0.000000000000000000e+00
2.684354560000000000e+08 1.458312531664687946e-02 -2.504126364985891140e+00 6.000000000000000000e+00
5.368709120000000000e+08 2.402093350872909136e-02 3.008002032087166544e+00 0.000000000000000000e+00
1.073741824000000000e+09 1.253314600366184188e-02 -1.188202502239580793e+00 0.000000000000000000e+00
2.147483648000000000e+09 1.948498934358783297e-02 1.341372915684871048e+00 0.000000000000000000e+00
4.294967296000000000e+09 1.506256667388600028e-02 3.139612578474958449e-01 0.000000000000000000e+00
8.589934592000000000e+09 1.727833802015561748e-02 2.157192648353088327e+00 0.000000000000000000e+00
1.717986918400000000e+10 6.864776124902201813e-03 -6.613189371707788311e-01 0.000000000000000000e+00
3.435973836800000000e+10 1.294687268065488998e-02 -8.258628709422468628e-01 0.000000000000000000e+00
6.871947673600000000e+10 1.014832545862867988e-02 -1.817699865865227971e-01 0.000000000000000000e+00
1.374389534720000000e+11 1.210939191710499498e-02 8.359949934718307052e-01 0.000000000000000000e+00
2.748779069440000000e+11 1.376543066236862213e-02 6.851352674682312793e-01 0.000000000000000000e+00
5.497558138880000000e+11 2.379551513248262182e-02 2.179285725914668959e+00 0.000000000000000000e+00
