# L = 2	dim_loc = 3	n_dis = 1	
# Jzz = 1.0	hz = 0.9	alphas = [(0.86602540378443871+0.49999999999999994j), (0.86602540378443871-0.49999999999999994j)]	betas = [1, 1]	lambdas = [1, 1]	
#time_set	abs_Z	ang_Z	t_histogram
1.000000000000000000e+00 9.958014235389969215e-01 -5.117899033293234678e-04 0.000000000000000000e+00
2.000000000000000000e+00 9.932563215854465222e-01 -3.128965756108637985e-03 0.000000000000000000e+00
4.000000000000000000e+00 9.942239447419664033e-01 1.194049167545191891e-03 0.000000000000000000e+00
8.000000000000000000e+00 9.862166751385172958e-01 4.379422911199176878e-03 0.000000000000000000e+00
1.600000000000000000e+01 9.831704724957553987e-01 1.095040436174602762e-03 0.000000000000000000e+00
3.200000000000000000e+01 9.694018696465125373e-01 3.342436577433492359e-03 0.000000000000000000e+00
6.400000000000000000e+01 8.912971953019723781e-01 9.843156303741780466e-03 0.000000000000000000e+00
1.280000000000000000e+02 6.748905999901367858e-01 1.831337222486179375e-03 0.000000000000000000e+00
2.560000000000000000e+02 1.639261970888230419e-02 -1.686933528301272356e-01 0.000000000000000000e+00
5.120000000000000000e+02 3.630675949752365517e-02 -2.841018972820414046e+00 0.000000000000000000e+00
1.024000000000000000e+03 1.026782480064237918e-01 -2.764838527078711805e-01 0.000000000000000000e+00
2.048000000000000000e+03 1.757030034443030075e-01 -2.704581129326524724e+00 0.000000000000000000e+00
4.096000000000000000e+03 3.860178713663220407e-01 -1.930481233232062555e-01 0.000000000000000000e+00
8.192000000000000000e+03 4.651408184948900848e-01 -2.380267307320707015e+00 0.000000000000000000e+00
1.638400000000000000e+04 7.008406376222919842e-01 4.319195471824938126e-02 0.000000000000000000e+00
3.276800000000000000e+04 1.711676897021871258e-01 8.501816964407075128e-01 0.000000000000000000e+00
6.553600000000000000e+04 4.264514802923191628e-01 2.153835445746267396e+00 2.000000000000000000e+00
1.310720000000000000e+05 3.330964831425269335e-01 6.864024333360710939e-01 0.000000000000000000e+00
2.621440000000000000e+05 8.600010673974771702e-01 2.111582377620160766e+00 0.000000000000000000e+00
5.242880000000000000e+05 5.226853153035148081e-01 -1.862047609506209733e+00 0.000000000000000000e+00
1.048576000000000000e+06 6.538086854725221331e-01 -2.196237054545444600e+00 0.000000000000000000e+00
2.097152000000000000e+06 4.080767337099271419e-01 4.682439973428298430e-01 0.000000000000000000e+00
4.194304000000000000e+06 8.692571683849181774e-01 2.076597269338033236e+00 0.000000000000000000e+00
8.388608000000000000e+06 5.600442247533798934e-01 -2.248084627993870210e+00 0.000000000000000000e+00
1.677721600000000000e+07 5.363452566531463628e-01 1.427887840588140944e-01 0.000000000000000000e+00
3.355443200000000000e+07 4.570241226304556093e-01 2.104925912323287296e+00 0.000000000000000000e+00
6.710886400000000000e+07 2.821230816583237266e-01 9.562235490608826938e-01 0.000000000000000000e+00
1.342177280000000000e+08 8.000876704787579508e-01 2.106774866255295198e+00 0.000000000000000000e+00
2.684354560000000000e+08 3.438894865856920724e-01 -1.889685836802037278e+00 0.000000000000000000e+00
5.368709120000000000e+08 4.449449481352490410e-01 -1.741591411796953537e+00 0.000000000000000000e+00
1.073741824000000000e+09 7.984312865737615006e-01 -2.125540181201500456e+00 0.000000000000000000e+00
2.147483648000000000e+09 3.740393779892738357e-01 1.573048405413996820e+00 0.000000000000000000e+00
4.294967296000000000e+09 8.573100351605623670e-01 2.080983952441576079e+00 0.000000000000000000e+00
8.589934592000000000e+09 5.044879723503025160e-01 -2.207302181033746979e+00 0.000000000000000000e+00
1.717986918400000000e+10 3.637595224505826286e-01 -2.078222103835448142e-01 0.000000000000000000e+00
3.435973836800000000e+10 4.739646831547620343e-01 -2.394109518564849992e+00 0.000000000000000000e+00
6.871947673600000000e+10 7.392574848873451066e-01 4.302376057744546067e-02 0.000000000000000000e+00
1.374389534720000000e+11 2.604783247524528056e-01 7.104861873065024813e-01 0.000000000000000000e+00
2.748779069440000000e+11 6.569724951573137073e-01 2.154558494783297196e+00 0.000000000000000000e+00
5.497558138880000000e+11 2.510741673154498477e-01 -5.009520016866115810e-01 0.000000000000000000e+00
