
# L 2
# hZ 0.3
# alphas [0.8660254037844387+ 0.49999999999999994j, 0.8660254037844387-0.49999999999999994j]
# epsilon 0.050000000000000003
# JZZ 1
# dim_loc 3
# lambdas [1.0, 1.0]
# n_dis 100
# betas [1.0, 1.0]
# gap 0.6981317007977311
# shifted_gap 0.007108769046077002 0
# log10_gap -0.3050718457637768 0
# log10_shifted_gap -2.5565878631038883
# ratio 0.3730873760562939
# time	Re(Z)	Im(Z)	Var(Z)
1.000000000000000000e+00 9.975015620226505009e-01 -4.164063151005148781e-05 7.645437747805662366e-30
2.000000000000000000e+00 9.929956305095216651e-01 -2.001013815401758646e-04 6.880375696864624283e-06
4.000000000000000000e+00 9.832548938735297117e-01 -5.165774890514993273e-04 1.281337970339444605e-04
8.000000000000000000e+00 9.653080834352240069e-01 -7.475396590349162387e-04 1.460107487938694642e-03
1.600000000000000000e+01 9.323969472756347132e-01 -1.179034077494818750e-03 1.221798757931048286e-02
3.200000000000000000e+01 8.738224163158276880e-01 -1.092282185506655802e-03 5.523410329681481545e-02
6.400000000000000000e+01 7.952825101100630123e-01 9.716213620383579652e-05 9.632014879408194730e-02
1.280000000000000000e+02 6.295341865982986285e-01 3.796994630349577373e-03 1.914778157190857033e-01
2.560000000000000000e+02 4.052478845266146434e-01 -1.654822773607318026e-02 2.143768896077126174e-01
5.120000000000000000e+02 1.639330669422370268e-01 -9.521038602534561204e-03 2.120980131866259943e-01
1.024000000000000000e+03 1.620670655495193291e-01 -1.821715351934162508e-02 2.249420152949427043e-01
2.048000000000000000e+03 1.556217079338290121e-01 -6.819422496822935282e-05 2.946568562907566635e-01
4.096000000000000000e+03 6.135245625453683745e-03 -6.938760125748782981e-02 2.977824460256812134e-01
8.192000000000000000e+03 -2.238150931095980734e-02 1.940036689466434483e-02 2.755971129002713349e-01
1.638400000000000000e+04 -4.152020932669306386e-02 1.430033659869092135e-03 3.090092411282022167e-01
3.276800000000000000e+04 2.182197035933420171e-03 -4.577980304885147927e-02 2.688219561416957948e-01
6.553600000000000000e+04 -1.262751196030709698e-02 1.912842498056164381e-02 2.323962946726148004e-01
1.310720000000000000e+05 -4.941843753274233197e-02 -2.695927575125801022e-03 3.059401870473804630e-01
2.621440000000000000e+05 -4.542528870484496828e-02 9.386747640102451051e-02 3.081050609283257358e-01
5.242880000000000000e+05 -4.069947572368967648e-02 -5.125701160474302465e-02 2.646808990640108772e-01
1.048576000000000000e+06 -2.753925737419446462e-02 -4.616145601311633095e-02 2.952131374592152913e-01
2.097152000000000000e+06 -3.408859082660405798e-02 -2.128399436258891775e-02 2.680830155885307597e-01
4.194304000000000000e+06 4.154915307434699917e-02 -5.237502434151184404e-03 3.150736622520750041e-01
8.388608000000000000e+06 1.218888235501737645e-02 -8.711772910821780069e-02 2.673572664955144451e-01
1.677721600000000000e+07 -5.219086909161451153e-04 4.629585178011481894e-02 2.821548016048631147e-01
3.355443200000000000e+07 6.407740481465680135e-03 -6.877379101583516730e-02 2.982807449957330381e-01
6.710886400000000000e+07 -3.453582653755904452e-02 -8.782253285632707351e-02 3.160175269394200903e-01
1.342177280000000000e+08 -1.786087009004837939e-02 -5.062363224196082812e-02 2.903735665326483972e-01
2.684354560000000000e+08 5.626311308258817936e-03 3.790649525143618276e-02 2.705528710558493533e-01
5.368709120000000000e+08 1.924941864914924208e-02 -2.099400976316519521e-02 2.885721094997705793e-01
1.073741824000000000e+09 6.257785213514098499e-02 3.739629823487142235e-02 2.809552826560206551e-01
2.147483648000000000e+09 3.199211798245010872e-03 -7.535467808309548321e-02 3.000741835989899076e-01
4.294967296000000000e+09 -5.694898498570896694e-02 -2.207792131253908177e-02 2.674154979002206223e-01
8.589934592000000000e+09 -3.714824711050228323e-02 2.289526933955435967e-02 2.944405674440795928e-01
1.717986918400000000e+10 3.282994527415574598e-02 3.813478453697086851e-02 3.213377586887466442e-01
3.435973836800000000e+10 -1.222091779961685318e-02 -1.315453389871917497e-02 2.962791369300792343e-01
6.871947673600000000e+10 -1.056678859243672178e-02 4.504077590805759777e-03 2.677038853566587884e-01
1.374389534720000000e+11 1.697166370494279652e-02 1.011258717802834307e-02 2.649427287387651764e-01
2.748779069440000000e+11 4.308144593264016942e-02 -2.524437477849354630e-04 3.064207741527752993e-01
5.497558138880000000e+11 -8.871562056915761885e-02 1.947850793900499089e-02 3.268692052662282577e-01
