# L 3
# hZ 0.3
# alphas [0.8660254037844387+ 0.49999999999999994j, 0.8660254037844387-0.49999999999999994j]
# epsilon 0.050000000000000003
# JZZ 1
# dim_loc 3
# lambdas [1.0, 1.0]
# n_dis 100
# betas [1.0, 1.0]
# gap 0.2327105669325773
# shifted_gap 0.0009061471435942362
# log10_gap -0.8201638336961765
# log10_shifted_gap -3.658948692515218
# ratio 0.4413953123877573
# time	Re(Z)	Im(Z) Var(Z)
1.000000000000000000e+00 9.975015620226500568e-01 -4.164063151005611599e-05 1.117742806384086429e-29
2.000000000000000000e+00 9.926651897227021237e-01 -2.845027703423441755e-04 6.286681983272733449e-06
4.000000000000000000e+00 9.814602254028028661e-01 -9.479694366671241211e-04 1.419535021834835732e-04
8.000000000000000000e+00 9.594860626413451721e-01 -1.475398736487130123e-03 1.888417104560069894e-03
1.600000000000000000e+01 9.234246466086254435e-01 -1.372268796083396308e-03 1.636498679498061062e-02
3.200000000000000000e+01 8.813508518257309188e-01 -2.362710553678259995e-03 7.438848615161039457e-02
6.400000000000000000e+01 8.828319733139577963e-01 1.141007290234515893e-02 8.178886642423112419e-02
1.280000000000000000e+02 8.861807060881813358e-01 3.528780441646796849e-03 6.288535146732675274e-02
2.560000000000000000e+02 8.722061734054351589e-01 5.117170757982505633e-03 6.207002066768507742e-02
5.120000000000000000e+02 7.992666687983622786e-01 8.765000566897893433e-03 1.122217369614694898e-01
1.024000000000000000e+03 6.865537176574404432e-01 1.627527979516380646e-02 1.810465590224455967e-01
2.048000000000000000e+03 5.370136649297291287e-01 2.470410189803756359e-02 2.572795221236374164e-01
4.096000000000000000e+03 4.175717018368478861e-01 -1.335562572940311504e-03 2.625718102371827900e-01
8.192000000000000000e+03 2.035109573183034870e-01 -2.026424303099846197e-02 3.058264884038113252e-01
1.638400000000000000e+04 3.722727721269643991e-02 -7.049191395588451370e-02 3.016403068858795611e-01
3.276800000000000000e+04 2.490926551379132534e-02 5.361452727738740681e-02 3.272013099935184299e-01
6.553600000000000000e+04 6.602683026068058292e-02 -6.776049888134564290e-03 2.823111703898851244e-01
1.310720000000000000e+05 1.104287629886022970e-01 6.959712580680888633e-03 2.771370321515690960e-01
2.621440000000000000e+05 -1.183829023039796070e-02 -3.972324655844726438e-02 2.844221264679168693e-01
5.242880000000000000e+05 2.227848219136702168e-02 2.317765225690084519e-03 3.123354799637215740e-01
1.048576000000000000e+06 9.680957880704088581e-02 4.373543370172827682e-02 2.366420152022132573e-01
2.097152000000000000e+06 -5.080273937677674823e-02 -1.179446443922707935e-02 2.773171633599464947e-01
4.194304000000000000e+06 2.920657360228693517e-02 2.145510981765316044e-02 2.569796922311858300e-01
8.388608000000000000e+06 4.847638947843919965e-02 -1.000339957819006489e-02 2.459844650061081828e-01
1.677721600000000000e+07 -2.242858572552335061e-02 2.226845127257268131e-02 2.213545339680787483e-01
3.355443200000000000e+07 9.177403198645319587e-03 -2.369433741624434042e-02 2.392293701269553596e-01
6.710886400000000000e+07 -3.041757670990066081e-02 1.314597872916715721e-03 2.858926095730979222e-01
1.342177280000000000e+08 -1.107852733702002941e-02 -3.010748364267371718e-02 2.751177424745152034e-01
2.684354560000000000e+08 4.663314984895956805e-02 5.992625890190531740e-02 2.752402056193166136e-01
5.368709120000000000e+08 4.445664927291635010e-02 -8.467564558304231659e-02 2.739194441814341019e-01
1.073741824000000000e+09 3.680515814058526319e-02 -1.670353977476607757e-02 2.423214386938222775e-01
2.147483648000000000e+09 1.472032035772697679e-02 -2.607345648056597076e-02 2.562137916300575302e-01
4.294967296000000000e+09 1.771256213433668875e-02 -2.207126206544580971e-02 2.055920344075448380e-01
8.589934592000000000e+09 5.176596987272139017e-02 -3.751226419424271569e-02 2.852153451363125258e-01
1.717986918400000000e+10 -4.478413026589633111e-02 3.600295302969307165e-02 2.345910159405106277e-01
3.435973836800000000e+10 -1.934164909387269676e-02 6.382756442510487301e-03 2.616452450687616893e-01
6.871947673600000000e+10 -4.098524259951910782e-03 3.110677116962742069e-03 2.515961578287708167e-01
1.374389534720000000e+11 1.816810497477372444e-02 1.646211347173023518e-02 2.599048163034345937e-01
2.748779069440000000e+11 -3.353852311406238518e-02 6.110383498673414675e-03 2.417749896395027520e-01
5.497558138880000000e+11 -2.259552232074862194e-02 -1.316148184168140084e-02 2.755642718247122702e-01
