# L 7
# hZ 0.3
# alphas [0.8660254037844387+ 0.49999999999999994j, 0.8660254037844387-0.49999999999999994j]
# epsilon 0.050000000000000003
# JZZ 1
# dim_loc 3
# lambdas [1.0, 1.0]
# n_dis 100
# betas [1.0, 1.0]
# gap 0.0028729699621305813
# shifted_gap 1.4992245783370401e-06
# log10_gap -2.7808325990141594
# log10_shifted_gap -7.720455454160352
# ratio 0.38982157078255564
# time	Re(Z)	Im(Z) Var(Z)
1.000000000000000000e+00 9.975015620226487245e-01 -4.164063151197200965e-05 1.910934846275985228e-27
2.000000000000000000e+00 9.928779784388794827e-01 -1.845517527028173134e-04 6.811692476074980798e-06
4.000000000000000000e+00 9.820596300148703994e-01 -8.178178672501101388e-04 1.448112827197499072e-04
8.000000000000000000e+00 9.600816334741164582e-01 -2.625819918338051159e-03 1.982830879264780438e-03
1.600000000000000000e+01 9.194101499296557511e-01 -7.485023570551647965e-03 1.704780875682102709e-02
3.200000000000000000e+01 8.696250388645835327e-01 -8.990589193044970853e-03 8.334120101303359174e-02
6.400000000000000000e+01 8.665212262950987565e-01 1.431388726534423570e-03 1.037472948504131465e-01
1.280000000000000000e+02 8.820244458782943164e-01 -5.520345276923848722e-03 6.017518272193430467e-02
2.560000000000000000e+02 8.747208446445258190e-01 -1.652010748023687676e-03 7.616742197676870663e-02
5.120000000000000000e+02 8.648964107477601360e-01 8.165330858668555470e-05 9.034358210600047789e-02
1.024000000000000000e+03 8.629009064928181427e-01 3.163857704493898502e-03 8.119014194154512698e-02
2.048000000000000000e+03 8.595005966116233687e-01 -4.190045352087296048e-04 8.484881005088998340e-02
4.096000000000000000e+03 8.590830617623788079e-01 -7.674856820157080137e-03 8.728172415828033825e-02
8.192000000000000000e+03 8.683501196053921012e-01 -2.590394258743243614e-03 6.864036910998796981e-02
1.638400000000000000e+04 8.555898282333209703e-01 -2.065605191818334525e-03 8.244442890933804946e-02
3.276800000000000000e+04 8.533482804623552243e-01 -2.523228270365382182e-03 8.243692535223243190e-02
6.553600000000000000e+04 8.505523623904316377e-01 -2.462211247926711886e-03 7.925562611773480370e-02
1.310720000000000000e+05 8.333370938410028517e-01 6.209462750096633038e-04 8.795993708047158965e-02
2.621440000000000000e+05 8.165628083256428749e-01 -7.156921978912812472e-04 9.992670920990839867e-02
5.242880000000000000e+05 7.804312608914693028e-01 1.519429699135147220e-03 1.283757623340545384e-01
1.048576000000000000e+06 7.397268458387697976e-01 -5.520816924839414691e-03 1.598274934414408710e-01
2.097152000000000000e+06 7.170817359287632309e-01 1.040613805127756477e-03 1.502789422437248723e-01
4.194304000000000000e+06 6.544122385385082730e-01 -2.578184797081212523e-03 1.868595893933768237e-01
8.388608000000000000e+06 5.906765117099105344e-01 4.270409179444877544e-03 2.142962759175473519e-01
1.677721600000000000e+07 5.374479970457921585e-01 -1.920000334531993258e-02 2.456111377013989183e-01
3.355443200000000000e+07 4.389524727087399381e-01 9.089546497604114594e-03 2.742537446979128601e-01
6.710886400000000000e+07 3.787691966384031383e-01 -1.391178720154629019e-02 2.635264322941591741e-01
1.342177280000000000e+08 3.055840025837622265e-01 -1.841074973888716035e-02 2.718017610317473021e-01
2.684354560000000000e+08 2.788889687847982413e-01 2.497648991127043513e-02 2.499120028566607921e-01
5.368709120000000000e+08 2.034259736523837681e-01 4.513557122796092030e-02 2.110293186658298015e-01
1.073741824000000000e+09 9.151458569053486092e-02 2.420778436103009079e-02 2.356260256017806143e-01
2.147483648000000000e+09 3.908497236073016357e-02 -2.697407164884355057e-02 2.247637918707632854e-01
4.294967296000000000e+09 4.533028278595967880e-02 -5.671752438023793669e-02 2.093122881172182481e-01
8.589934592000000000e+09 1.870832877909731420e-02 4.520442877358298722e-02 2.117620101895562046e-01
1.717986918400000000e+10 -6.390905354189412718e-03 -2.376877321915167943e-02 1.913087653461427173e-01
3.435973836800000000e+10 2.273800213552325256e-02 -3.358274453813146765e-02 1.753825300623017835e-01
6.871947673600000000e+10 -2.789374792688485011e-03 -3.480514068267365896e-02 1.849825532986944243e-01
1.374389534720000000e+11 2.338220868291555898e-02 -6.968571188270715651e-03 1.987641128436450910e-01
2.748779069440000000e+11 -6.934321285000811380e-03 -6.460551618074235336e-02 1.828199912486086487e-01
5.497558138880000000e+11 1.329451557884320755e-02 1.874301644985827686e-02 1.720411465725482092e-01
